datetime,Open,High,Low,Close,Volume
2023/06/30 13:45,16777,16792,16777,16788,786
2023/06/30 13:44,16777,16779,16776,16779,253
2023/06/30 13:43,16773,16778,16772,16775,206
2023/06/30 13:42,16777,16778,16772,16773,306
2023/06/30 13:41,16782,16784,16777,16777,427
2023/06/30 13:40,16781,16782,16779,16782,186
2023/06/30 13:39,16781,16783,16778,16782,389
2023/06/30 13:38,16789,16789,16779,16781,548
2023/06/30 13:37,16793,16794,16787,16787,346
2023/06/30 13:36,16799,16800,16792,16792,352
2023/06/30 13:35,16800,16801,16796,16800,211
2023/06/30 13:34,16801,16805,16799,16800,318
2023/06/30 13:33,16801,16802,16799,16801,204
2023/06/30 13:32,16799,16802,16795,16801,487
2023/06/30 13:31,16806,16809,16799,16799,624
2023/06/30 13:30,16814,16815,16805,16805,790
2023/06/30 13:29,16818,16819,16812,16813,322
2023/06/30 13:28,16820,16822,16818,16818,305
2023/06/30 13:27,16821,16826,16816,16821,700
2023/06/30 13:26,16813,16823,16810,16820,883
2023/06/30 13:25,16806,16815,16805,16813,559
2023/06/30 13:24,16800,16808,16799,16806,493
2023/06/30 13:23,16794,16800,16791,16800,371
2023/06/30 13:22,16792,16795,16790,16794,160
2023/06/30 13:21,16793,16795,16790,16791,119
2023/06/30 13:20,16792,16795,16789,16794,177
2023/06/30 13:19,16787,16792,16787,16792,177
2023/06/30 13:18,16782,16789,16782,16788,157
2023/06/30 13:17,16784,16786,16780,16781,178
2023/06/30 13:16,16786,16786,16782,16782,258
2023/06/30 13:15,16785,16786,16784,16786,74
2023/06/30 13:14,16784,16786,16783,16784,60
2023/06/30 13:13,16783,16785,16783,16783,62
2023/06/30 13:12,16784,16785,16783,16784,46
2023/06/30 13:11,16782,16787,16781,16784,234
2023/06/30 13:10,16783,16785,16782,16782,57
2023/06/30 13:09,16786,16787,16783,16784,106
2023/06/30 13:08,16790,16790,16785,16786,96
2023/06/30 13:07,16794,16795,16790,16790,101
2023/06/30 13:06,16794,16795,16788,16793,208
2023/06/30 13:05,16790,16796,16789,16794,204
2023/06/30 13:04,16788,16792,16788,16790,116
2023/06/30 13:03,16787,16789,16785,16787,99
2023/06/30 13:02,16792,16794,16786,16788,179
2023/06/30 13:01,16785,16791,16784,16791,176
2023/06/30 13:00,16788,16788,16782,16783,121
2023/06/30 12:59,16781,16788,16781,16788,210
2023/06/30 12:58,16784,16785,16780,16782,88
2023/06/30 12:57,16782,16785,16782,16784,59
2023/06/30 12:56,16782,16784,16782,16783,37
2023/06/30 12:55,16784,16785,16780,16781,47
2023/06/30 12:54,16784,16787,16784,16784,84
2023/06/30 12:53,16785,16786,16784,16784,37
2023/06/30 12:52,16784,16789,16784,16785,98
2023/06/30 12:51,16782,16785,16779,16783,148
2023/06/30 12:50,16781,16784,16781,16781,50
2023/06/30 12:49,16785,16786,16782,16782,64
2023/06/30 12:48,16787,16788,16784,16786,76
2023/06/30 12:47,16786,16788,16786,16787,74
2023/06/30 12:46,16781,16787,16780,16786,168
2023/06/30 12:45,16781,16783,16780,16780,89
2023/06/30 12:44,16781,16783,16780,16781,148
2023/06/30 12:43,16783,16784,16781,16781,100
2023/06/30 12:42,16788,16791,16783,16783,176
2023/06/30 12:41,16787,16789,16787,16787,114
2023/06/30 12:40,16786,16787,16785,16786,37
2023/06/30 12:39,16785,16787,16784,16786,85
2023/06/30 12:38,16785,16788,16785,16786,102
2023/06/30 12:37,16791,16791,16782,16785,317
2023/06/30 12:36,16795,16797,16791,16792,105
2023/06/30 12:35,16796,16797,16795,16795,73
2023/06/30 12:34,16793,16797,16793,16796,83
2023/06/30 12:33,16793,16793,16792,16793,58
2023/06/30 12:32,16791,16794,16791,16793,50
2023/06/30 12:31,16791,16796,16791,16791,191
2023/06/30 12:30,16794,16795,16790,16793,65
2023/06/30 12:29,16795,16795,16792,16794,54
2023/06/30 12:28,16793,16795,16790,16795,87
2023/06/30 12:27,16790,16794,16790,16794,103
2023/06/30 12:26,16792,16793,16789,16790,124
2023/06/30 12:25,16793,16795,16791,16791,73
2023/06/30 12:24,16795,16795,16791,16794,75
2023/06/30 12:23,16801,16801,16795,16795,126
2023/06/30 12:22,16797,16804,16797,16801,245
2023/06/30 12:21,16794,16797,16788,16797,205
2023/06/30 12:20,16795,16798,16793,16793,142
2023/06/30 12:19,16801,16803,16794,16795,273
2023/06/30 12:18,16796,16804,16796,16801,639
2023/06/30 12:17,16796,16797,16792,16796,218
2023/06/30 12:16,16787,16797,16787,16796,571
2023/06/30 12:15,16788,16788,16785,16787,112
2023/06/30 12:14,16784,16788,16784,16788,97
2023/06/30 12:13,16785,16787,16783,16785,84
2023/06/30 12:12,16782,16786,16781,16784,129
2023/06/30 12:11,16780,16782,16778,16782,136
2023/06/30 12:10,16776,16780,16772,16779,275
2023/06/30 12:09,16780,16782,16776,16776,72
2023/06/30 12:08,16781,16782,16778,16781,246
2023/06/30 12:07,16785,16785,16781,16781,37
2023/06/30 12:06,16782,16786,16782,16785,77
2023/06/30 12:05,16782,16784,16781,16783,73
2023/06/30 12:04,16786,16788,16783,16784,85
2023/06/30 12:03,16784,16785,16780,16785,156
2023/06/30 12:02,16784,16786,16781,16784,172
2023/06/30 12:01,16787,16790,16781,16784,193
2023/06/30 12:00,16787,16790,16784,16787,175
2023/06/30 11:59,16785,16790,16785,16787,123
